area_key,area_name,area_kml,area_project,color,layer
400,400 Block,Area 1 - 400 Block,Area 1 - 400 Block,#CE93D8,Main Focus Areas
500,500 Block,Area 2 - 500 Block,Area 2 - 500 Block,#0F9D58,Main Focus Areas
600,600 Block,Area 3 - 600 Block,Area 3 - 600 Block,#01579B,Main Focus Areas
700,700/800 Block,Area 4 -7/800 Block,Area 4 - 7-800 Block,#FFD600,Main Focus Areas
900,900 Block,Area 5 - 900 Block,Area 5 - 900 Block,#B2EBF2,Main Focus Areas
1000,1000 Block,Area 6 - 1000 Block,Area 6 - 1000 Block,#F57C00,Main Focus Areas
cor,Corridor,Corridor,Whole Corridor,#9C27B0,Main Focus Areas
fwy,Freeway Underpass,Freeway Underpass,,#0097A7,Additional Focus Areas
300,300 Block,Area 0 - 300 Block,,#0097A7,Additional Focus Areas
800,800 Block,Area 4b - 800 Block,,#FFEA00,Additional Focus Areas
