project_key,img_category,img,gid,fname,path
raised-platform-on-street,overview,https://drive.google.com/open?id=1n_va8pX1jh9jK664d-AXGQJri8UiTHK1,1n_va8pX1jh9jK664d-AXGQJri8UiTHK1,Screen Shot 2020-08-08 at 12.28.50 PM - matthew gries.png,images/Screen Shot 2020-08-08 at 12.28.50 PM - matthew gries.png
add-3-stories-of-multi-family-halfway-house-above-joe-s,overview,https://drive.google.com/open?id=1OEX99bIo6QIa4FzfVAUFSvQnpYZfCatY,1OEX99bIo6QIa4FzfVAUFSvQnpYZfCatY,cdnassets.hw - matthew gries.jpg,images/cdnassets.hw - matthew gries.jpg
3-story-multi-family-behind-staples-above-enclosed-parking-garage,overview,https://drive.google.com/open?id=1wLs7FrXN0ZLqHkZhFw6FcP5v29AEH8hU,1wLs7FrXN0ZLqHkZhFw6FcP5v29AEH8hU,RSP Logo Header - matthew gries.png,images/RSP Logo Header - matthew gries.png
rsp-design-hub,overview,https://drive.google.com/open?id=1LxwS9Fwn57QJc31pjoA_axLV7m2vdvpQ,1LxwS9Fwn57QJc31pjoA_axLV7m2vdvpQ,1611 Olive view from street - Ben Werner.JPG,images/1611 Olive view from street - Ben Werner.JPG
raised-platform-on-street,other,https://drive.google.com/open?id=1aRJnJWvjvbmHn3mo6OWcU_rYk2nKUHbF,1aRJnJWvjvbmHn3mo6OWcU_rYk2nKUHbF,Screen Shot 2020-08-08 at 12.29.42 PM - matthew gries.png,images/Screen Shot 2020-08-08 at 12.29.42 PM - matthew gries.png
add-3-stories-of-multi-family-halfway-house-above-joe-s,other,https://drive.google.com/open?id=18YASN8VN1563lKMelLwRdsF_hW2I_ch5,18YASN8VN1563lKMelLwRdsF_hW2I_ch5,california_0 - matthew gries.png,images/california_0 - matthew gries.png
add-3-stories-of-multi-family-halfway-house-above-joe-s,other, https://drive.google.com/open?id=1ijxKSwGRnz78cBSk2MVrQMvtzySwxBHY,1ijxKSwGRnz78cBSk2MVrQMvtzySwxBHY,RSP Logo Header - matthew gries.png,images/RSP Logo Header - matthew gries.png
add-3-stories-of-multi-family-halfway-house-above-joe-s,other, https://drive.google.com/open?id=1DBtELbJtWrRsalv6JPvKqk3BAtL5zCK7,1DBtELbJtWrRsalv6JPvKqk3BAtL5zCK7,Screen Shot 2020-07-23 at 3.14.53 PM - matthew gries.png,images/Screen Shot 2020-07-23 at 3.14.53 PM - matthew gries.png
3-story-multi-family-behind-staples-above-enclosed-parking-garage,other,https://drive.google.com/open?id=1BgTMfI8CJRZm_t9V6vTAxrhMhM2oVKTY,1BgTMfI8CJRZm_t9V6vTAxrhMhM2oVKTY,cdnassets.hw - matthew gries.jpg,images/cdnassets.hw - matthew gries.jpg
3-story-multi-family-behind-staples-above-enclosed-parking-garage,other, https://drive.google.com/open?id=1MiHSR7t8wMxDYu7BNHpReGE5Y4_2WDmX,1MiHSR7t8wMxDYu7BNHpReGE5Y4_2WDmX,Screen Shot 2020-07-23 at 3.14.53 PM - matthew gries.png,images/Screen Shot 2020-07-23 at 3.14.53 PM - matthew gries.png
3-story-multi-family-behind-staples-above-enclosed-parking-garage,other, https://drive.google.com/open?id=1yeEw2cY6z3vRjBQ0hpOh3oPko-CD6hPe,1yeEw2cY6z3vRjBQ0hpOh3oPko-CD6hPe,RSP Logo Header - matthew gries.png,images/RSP Logo Header - matthew gries.png
rsp-design-hub,other,https://drive.google.com/open?id=1JZ34iY5MO9Zqe4a5ZTt-0r3zyqhiT5Vu,1JZ34iY5MO9Zqe4a5ZTt-0r3zyqhiT5Vu,1611 Olive yurt interior panorama looking north - Ben Werner.JPG,images/1611 Olive yurt interior panorama looking north - Ben Werner.JPG
