team_key,team_name,team_matrix,area_key,n_Architects,n_Community Stakeholders,n_Community Young People,n_Emerging Architectural Professionals,n_Landscape Architects,n_Planners,"n_Engineers (Civil, Structural)",n_ALL,team_htm
400A,400 Block Team A,Area 1 A-  400 Block Team,400,2,2,1,2,1,1,1,10,./team_400A.html
400B,400 Block Team B,Area 1 B-  400 Block Team,400,3,1,2,2,1,0,0,9,./team_400B.html
500A,500 Block Team A,Area 2 A-  500 Block Team,500,2,2,1,2,1,1,1,10,./team_500A.html
500B,500 Block Team B,Area 2 B-  500 Block Team,500,2,1,2,3,1,0,0,9,./team_500B.html
600A,600 Block Team A,Area 3 A- 600 Block Team,600,3,1,1,2,1,1,1,10,./team_600A.html
600B,600 Block Team B,Area 3 B- 600 Block Team,600,3,1,2,2,1,0,0,9,./team_600B.html
700A,700/800 Block Team A,Area 4 A-  700/800 Block Team,700,2,1,2,2,1,1,1,10,./team_700A.html
700B,700/800 Block Team B,Area 4 B-  700/800 Block Team,700,3,2,1,2,1,0,0,9,./team_700B.html
900A,900 Block Team A,Area 5 A-  900 Block Team,900,2,1,2,1,1,1,1,9,./team_900A.html
900B,900 Block Team B,Area 5 B-  900 Block Team,900,3,2,1,3,0,0,0,9,./team_900B.html
1000A,1000 Block Team A,Area 6 A-  1000 Block Team,1000,2,1,2,2,1,1,0,9,./team_1000A.html
1000B,1000 Block Team B,Area 6 B-  1000 Block Team,1000,2,2,2,2,0,0,0,8,./team_1000B.html
sup,Expertise Support Team,Expertise Support Team (Roaming Support Team),NA,0,2,0,0,0,0,0,2,./team_sup.html
corA,Corridor Team A,State Street Corridor Team - A,cor,5,1,1,2,1,1,1,12,./team_corA.html
corB,Corridor Team B,State Street Corridor Team - B,cor,4,1,1,2,1,1,0,10,./team_corB.html
corC,Corridor Team C,State Street Corridor Team - C,cor,5,1,1,2,1,1,0,11,./team_corC.html
corD,Corridor Team D,State Street Corridor Team - D,cor,5,2,1,2,1,1,0,12,./team_corD.html
